sample_id,cat_a,cat_b,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30
0,B,X,-4.827501295277878,-24.507466435158918,-7.85296293450876,0.771781495593978,28.29788396384597,-4.493911328563854,-42.76944911485663,-17.172861919705536,7.6933724325239154,7.735167451218206,7.090589343712284,-15.806795945094645,-11.578628099528315,23.97587694502085,9.63330755700619,-14.96995599623149,-14.378772625925173,,9.678605208174403,1.2966447909992542,24.597175588734746,-26.354320065333447,4.543396531221725,-19.54903573177525,-3.0513318383496197,-5.538587197804225,-3.084456715000067,5.499629182610894,-6.128896045964556,3.1320668121940347
1,F,V,51.30249965491293,,5.534737394528353,51.30546425144243,-8.027553137023276,28.297548156536493,,-18.19068391744219,41.21740724176534,12.091454948037967,-1.781172047107651,-9.555943839833107,-45.541129516198616,22.0613632573739,-1.2474106668438658,30.65203189421381,26.887401803640856,-7.090226189224104,-11.74055154989746,-20.841608529782242,-18.216260370728293,8.527931985142327,17.202115015535792,-30.452260032651267,0.8553256557175735,1.1990660033711842,3.597554701242565,-2.2397026609300297,2.93271035973277,0.4731454679810142
2,A,W,-4.820827560911027,-2.6253854176034377,27.89157805190927,1.5230409708312964,-5.77668679030158,-16.29852268452698,2.462937114846765,5.698794655203104,-11.77178933744331,-35.64000611149453,-9.76918789105082,27.225550476441285,11.386832682427965,-14.79840590426821,-24.153256898825123,-8.115438598673549,37.8272121260472,9.182300012394832,10.406209725900297,19.95949340003547,-48.26077536941899,9.313232223679933,12.323411261729559,55.08132514725026,-3.9456056693389012,-0.28053993833694213,-0.13058298802166465,-7.3532052102243535,-2.942835580238661,1.4604768205822443
3,B,X,-2.6275730931357444,-25.063638707544392,-9.450011079168428,-8.344669045613738,22.371117911423386,-11.525848024236113,-43.76260705139576,-7.06321705868948,6.292939955766111,4.398892510708712,-4.2953955995323865,-17.219276601921084,-4.85819936971335,8.202210503345666,1.6546729022793887,-11.68417290407585,-16.28562867713548,-3.1888261101561977,5.671304926736962,10.111227080749746,24.70066300958215,-25.466914699602754,-3.3986654682873665,-18.174540820932123,0.43822902339082215,3.1525561591575366,3.859282712539657,-2.6787687365686645,-2.213922732397627,-4.7246385799945685
4,C,Y,-11.415709767753432,-8.692169142945144,48.63616336419259,14.661825597661997,-39.634617947573034,10.769075462989848,40.18753617338272,-7.420308933131148,15.166053616394061,-0.5931481395301077,-1.3567624413509094,-20.186908570454158,33.01055505708881,-3.2557148776886784,19.50350069008468,0.7457872246643094,0.790124166195568,14.494465505982136,-15.670156601935222,10.059768145249606,-79.71038316339997,-13.69425291670645,41.57589175990883,-9.498640354962177,1.5296084423655028,-1.6413470853841696,3.500089742390486,3.1112574106412536,1.4752318394651036,-1.3216764621256574
5,C,Y,,-6.5681757453828435,48.32129374729601,14.087973602990878,-37.95281214130037,10.285659694860884,38.68286088488933,-8.422921157493722,18.537253465117594,-2.815433749366271,-5.039215782325224,-17.1169704723476,,-8.993726976807121,21.284392401596754,2.0859205146515523,0.5988923747820252,12.272986703808938,-11.224266217442702,9.292469766650134,-76.53785051411747,-10.74535048006909,40.93077225224275,-7.135282279538243,3.2774494634304805,-0.007331023172051204,0.7200481545719326,-5.804991025135607,1.1368042113452763,0.12934986547242044
6,F,Y,-11.494177957715323,-5.632114175958496,49.33253161731372,13.67548932691256,-39.22186524719947,11.170253627654068,42.317318266698955,-7.332410446384715,15.36897099253553,-0.388380391866443,0.15255990731691682,-15.476058781599964,32.75331775682615,-4.4674570866244725,19.10304462979987,1.250355335093193,0.664903096303382,14.451323904095679,-12.817380713083685,7.562309710447874,-77.38272087718533,-10.612933564922162,39.408249196622116,-7.439799395359728,-0.34665846480138285,-1.760742751942197,-4.634181697526268,-0.18043607258256283,-6.503819792374392,-0.7016603379589101
7,E,U,29.509838355644057,34.89830041091906,-22.253683988364283,0.5989438064392487,21.346213502563906,11.371535778813879,-13.184219071787219,22.40025668845574,-60.28765255321038,24.04985809340913,6.864309956566419,25.941121921135128,-38.280363945389865,32.57467310354006,-29.997417509020035,-26.709087123433118,-10.089079019686565,-2.905818978545737,6.984141938690925,1.5475197720740823,20.36248710154533,15.401255373509976,-17.545954324771568,19.33406900628681,-1.704103780725188,3.9285542338619623,5.608147735038698,-4.573261765371276,2.34524352771243,-2.0086750404630727
8,F,V,56.366752917058136,-2.7911859430980632,1.2643167297765385,45.268076227646866,-0.06613741982264676,31.75538525237597,12.780097188459163,-26.987530019612095,49.92993120232906,11.76748548646588,-8.768463361699155,-6.306441080218107,-46.32737464089517,17.300404323037835,6.750281249745866,34.49986701648103,27.09146122610499,-13.660579998405613,0.6629143183178599,-28.544124953198267,-4.186372665633122,10.040766060442023,18.30000514761666,-34.89913675091978,-1.436597572746284,-1.489693965056154,3.8872535978353406,-0.356854374778088,1.2554380603624837,-5.024669129978648
9,A,W,7.475064989955232,2.402913557328005,33.93140123309074,4.647808202505701,,-10.726027287566247,6.8256303822757545,3.9011217367807998,-5.951211332697221,-34.75854324354309,-0.9007214830088976,34.03590323106953,5.60217699365465,-7.343007321210331,-26.872906980526864,-6.295330395837929,35.840898088067426,6.086158129472234,11.833566892325798,14.966368719764947,-39.46169655019808,9.905739700292227,7.59724768891677,45.097070733594414,-3.44857658872557,-1.6751754596560806,-0.0066177868109711935,2.005015439341364,-1.7672377018090195,4.194456541958473
